fact_forecasts_key,mtn_name,region_group_key,mtn_range,subrange,latitude,longitude,geo_dimension,elevation,elevation_feature,time_of_scrape,local_time_issued,local_time_of_forecast,time_diff_hours,forecast_time_name,forecast_status,forecast_phrase,wind_speed,actual_wind_speed,wind_speed_diff,abs_wind_speed_diff,snow,actual_snow,snow_diff,abs_snow_diff,rain,actual_rain,rain_diff,abs_rain_diff,max_temp,actual_max_temp,max_temp_diff,abs_max_temp_diff,min_temp,actual_min_temp,min_temp_diff,abs_min_temp_diff,chill,actual_chill,chill_diff,abs_chill_diff,i
f662ee10a5dc4e68396d2860ddd38081,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-01T15:00:00,-1,pm,actual,mod._snow,10,10,0,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-10,-10,0,0,-11,-11,0,0,-16,-16,0,0,1
4e60de0f401e5e78cef1d86bf9cb9fbd,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-01T23:00:00,7,night,forecast,snow_shwrs,15,10,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-10,-10,0,0,-11,-12,1,1,-16,-16,0,0,2
db4260e7b429ff3713b694a73b10f6a4,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-02T07:00:00,15,am,forecast,snow_shwrs,0,5,-5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,-12,1,1,-12,-12,0,0,-12,-15,3,3,3
d5c180f78df8a5814bee361b87fed240,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-02T15:00:00,23,pm,forecast,light_snow,5,5,0,0,1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,-11,-10,-1,1,-11,-11,0,0,-11,-11,0,0,4
39ee579cfa9d387da06fa66820b86aff,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-02T23:00:00,31,night,forecast,some_clouds,15,5,10,10,0.0,6.0,-6.0,6.0,0.0,0.0,0.0,0.0,-9,-11,2,2,-12,-11,-1,1,-17,-11,-6,6,5
a1e52f8aed8e5751934434b953938b92,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-03T15:00:00,47,pm,forecast,mod._snow,0,5,-5,5,9.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,-11,-10,-1,1,-11,-11,0,0,-15,-11,-4,4,6
a11585736d3e3620dd37832ce778d570,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-03T23:00:00,55,night,forecast,heavy_snow,5,10,-5,5,11.0,12.0,-1.0,1.0,0.0,0.0,0.0,0.0,-11,-11,0,0,-12,-12,0,0,-16,-19,3,3,7
1098cf3f4e17a5df67b7aa317bcac780,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-04T07:00:00,63,am,forecast,light_snow,10,15,-5,5,2.0,6.0,-4.0,4.0,0.0,0.0,0.0,0.0,-12,-12,0,0,-12,-12,0,0,-17,-19,2,2,8
033f97bdd11cdcd7c04cda6a65cfde6c,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-04T15:00:00,71,pm,forecast,mod._snow,10,5,5,5,8.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,-12,-11,-1,1,-12,-12,0,0,-18,-12,-6,6,9
94f7016c298cf6f5793df2d1cfba5c33,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-07-01T18:00:00,2024-07-01T16:00:00,2024-07-04T23:00:00,79,night,forecast,snow_shwrs,10,15,-5,5,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,-11,-11,0,0,-13,-12,-1,1,-20,-20,0,0,10
