fact_forecasts_key,mtn_name,region_group_key,mtn_range,subrange,latitude,longitude,geo_dimension,elevation,elevation_feature,time_of_scrape,local_time_issued,local_time_of_forecast,time_diff_hours,forecast_time_name,forecast_status,forecast_phrase,wind_speed,actual_wind_speed,wind_speed_diff,abs_wind_speed_diff,snow,actual_snow,snow_diff,abs_snow_diff,rain,actual_rain,rain_diff,abs_rain_diff,max_temp,actual_max_temp,max_temp_diff,abs_max_temp_diff,min_temp,actual_min_temp,min_temp_diff,abs_min_temp_diff,chill,actual_chill,chill_diff,abs_chill_diff,i
32c6cd46be28f6246161fa9d494741f7,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-04T07:00:00,3,am,actual,clear,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,-18,0,0,-19,-19,0,0,-29,-29,0,0,1
2dc4190ab59a672562b0532c1f98578f,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-04T15:00:00,11,pm,forecast,some_clouds,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-14,-1,1,-17,-17,0,0,-26,-26,0,0,2
c787693c930c62d57a5e6737e9fcb959,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-04T23:00:00,19,night,forecast,some_clouds,10,15,-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-14,-1,1,-17,-16,-1,1,-24,-24,0,0,3
c0dbc1f4ec15980237eae3c06a0b2bce,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-05T07:00:00,27,am,forecast,clear,20,35,-15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16,-14,-2,2,-17,-14,-3,3,-26,-24,-2,2,4
1277d1bddad2077aec85bc6e8f7d14d1,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-05T15:00:00,35,pm,forecast,snow_shwrs,25,35,-10,10,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-15,-13,-2,2,-16,-14,-2,2,-26,-25,-1,1,5
da627b846a2e9933b4a6b58d04c87f48,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-05T23:00:00,43,night,forecast,some_clouds,15,20,-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-12,-3,3,-15,-14,-1,1,-23,-23,0,0,6
a3ce59dc2138dcc33991f6c0e8f4004c,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-06T07:00:00,51,am,forecast,clear,20,30,-10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16,-15,-1,1,-17,-16,-1,1,-26,-27,1,1,7
7cb3041d3489786b8f41b7a72582a893,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-06T15:00:00,59,pm,forecast,some_clouds,10,20,-10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-13,-2,2,-16,-16,0,0,-25,-24,-1,1,8
7fdee64a52c675da8b96909e54633375,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-06T23:00:00,67,night,forecast,some_clouds,5,25,-20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,-12,-2,2,-15,-14,-1,1,-15,-24,9,9,9
c89191d817d4c4b1d8bd2bec96996c2a,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-04T02:00:00,2024-06-04T04:00:00,2024-06-07T07:00:00,75,am,forecast,clear,25,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,-13,-1,1,-14,-15,1,1,-22,-25,3,3,10
