fact_forecasts_key,mtn_name,region_group_key,mtn_range,subrange,latitude,longitude,geo_dimension,elevation,elevation_feature,time_of_scrape,local_time_issued,local_time_of_forecast,time_diff_hours,forecast_time_name,forecast_status,forecast_phrase,wind_speed,actual_wind_speed,wind_speed_diff,abs_wind_speed_diff,snow,actual_snow,snow_diff,abs_snow_diff,rain,actual_rain,rain_diff,abs_rain_diff,max_temp,actual_max_temp,max_temp_diff,abs_max_temp_diff,min_temp,actual_min_temp,min_temp_diff,abs_min_temp_diff,chill,actual_chill,chill_diff,abs_chill_diff,i
5e945fea916dc0cbea4ad0278292ba05,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-03T15:00:00,-1,pm,actual,some_clouds,15,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16,-16,0,0,-16,-16,0,0,-26,-26,0,0,1
fdad7e7f011621779627d9ccc148449e,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-03T23:00:00,7,night,forecast,some_clouds,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16,-16,0,0,-18,-17,-1,1,-24,-24,0,0,2
c9465c82e34e3a65af6a11097164b05d,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-04T07:00:00,15,am,forecast,clear,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,-18,0,0,-18,-19,1,1,-27,-29,2,2,3
4af99a02317bf3893178b01e4552a733,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-04T15:00:00,23,pm,forecast,some_clouds,25,20,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-14,-1,1,-16,-17,1,1,-26,-26,0,0,4
ce78d020608a83e5e2f23a41cb184995,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-04T23:00:00,31,night,forecast,snow_shwrs,5,15,-10,10,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-16,-14,-2,2,-18,-16,-2,2,-18,-24,6,6,5
c2815c4c3afc41ce90f63c7f29164986,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-05T07:00:00,39,am,forecast,snow_shwrs,15,35,-20,20,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-16,-14,-2,2,-17,-14,-3,3,-26,-24,-2,2,6
eedfaddbcc559e98b452ae4c9f1cbd65,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-05T15:00:00,47,pm,forecast,snow_shwrs,15,35,-20,20,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-14,-13,-1,1,-15,-14,-1,1,-23,-25,2,2,7
e33eb5cb00120fd8293dd48f054751bf,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-05T23:00:00,55,night,forecast,some_clouds,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,-12,-2,2,-15,-14,-1,1,-22,-23,1,1,8
529e148ad422b9e299ee9b62bfb02010,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-06T07:00:00,63,am,forecast,clear,25,30,-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-15,0,0,-15,-16,1,1,-25,-27,2,2,9
a0d41dbf48f345fa2134479c3947ce4a,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-06T15:00:00,71,pm,forecast,some_clouds,15,20,-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,-13,-1,1,-15,-16,1,1,-24,-24,0,0,10
9629d8ee1ce8e7328a32eda20aa28f6a,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-06T23:00:00,79,night,forecast,clear,5,25,-20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,-12,-2,2,-15,-14,-1,1,-15,-24,9,9,11
899bb58e47f4c950106f4a621dde32b0,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-07T07:00:00,87,am,forecast,some_clouds,20,25,-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,-13,-1,1,-15,-15,0,0,-21,-25,4,4,12
97518bb9bbde50fbbe7d5f99ff624d26,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-07T15:00:00,95,pm,forecast,some_clouds,25,15,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13,-13,0,0,-14,-15,1,1,-24,-24,0,0,13
85b6340627b494d23d8d7a0c130c0eff,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-07T23:00:00,103,night,forecast,clear,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13,-13,0,0,-14,-14,0,0,-20,-20,0,0,14
ef83e1e008f6568644c35353e9dc7c84,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-08T07:00:00,111,am,forecast,clear,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,-15,0,0,-15,-15,0,0,-15,-20,5,5,15
814f4630a543d52be80c359052ca6f43,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-08T15:00:00,119,pm,forecast,snow_shwrs,20,20,0,0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-14,-13,-1,1,-15,-14,-1,1,-23,-22,-1,1,16
b2a541657b83a0af9ba955f8169e7abc,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-06-03T18:00:00,2024-06-03T16:00:00,2024-06-08T23:00:00,127,night,forecast,some_clouds,5,20,-15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,-12,-2,2,-15,-13,-2,2,-21,-20,-1,1,17
