fact_forecasts_key,mtn_name,region_group_key,mtn_range,subrange,latitude,longitude,geo_dimension,elevation,elevation_feature,time_of_scrape,local_time_issued,local_time_of_forecast,time_diff_hours,forecast_time_name,forecast_status,forecast_phrase,wind_speed,actual_wind_speed,wind_speed_diff,abs_wind_speed_diff,snow,actual_snow,snow_diff,abs_snow_diff,rain,actual_rain,rain_diff,abs_rain_diff,max_temp,actual_max_temp,max_temp_diff,abs_max_temp_diff,min_temp,actual_min_temp,min_temp_diff,abs_min_temp_diff,chill,actual_chill,chill_diff,abs_chill_diff,i
62563bd81274b474d8dfcbf93a0f5749,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-16T23:00:00,1,night,actual,some_clouds,25,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,-18,0,0,-20,-20,0,0,-32,-32,0,0,1
e302bf32293689261640859daf7a46fe,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-17T07:00:00,9,am,forecast,clear,20,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20,-21,1,1,-21,-21,0,0,-32,-33,1,1,2
805a330350a8fd7192f344fcf867e107,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-17T15:00:00,17,pm,forecast,some_clouds,25,15,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,-19,1,1,-19,-20,1,1,-30,-29,-1,1,3
6e18aa8d69703f933b5d6c7681f65998,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-17T23:00:00,25,night,forecast,clear,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17,-19,2,2,-19,-20,1,1,-26,-28,2,2,4
672e1e26638fe09fb589498eaaa440c7,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-18T07:00:00,33,am,forecast,clear,15,20,-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20,-20,0,0,-20,-20,0,0,-30,-29,-1,1,5
0282d616ee7a542f2388664e01a81181,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-18T15:00:00,41,pm,forecast,snow_shwrs,20,25,-5,5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-18,-18,0,0,-19,-19,0,0,-30,-31,1,1,6
a70abac5f68fea8f464aeaf1922f9f60,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-18T23:00:00,49,night,forecast,some_clouds,5,10,-5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19,-19,0,0,-20,-20,0,0,-27,-20,-7,7,7
3953febf0ceef0bc249eb14be1ec8ad0,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-19T07:00:00,57,am,forecast,snow_shwrs,5,5,0,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-20,-21,1,1,-20,-21,1,1,-20,-27,7,7,8
ad810b687adf794a1a0fe3ebfbba222f,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-19T15:00:00,65,pm,forecast,mod._snow,15,20,-5,5,7.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,-18,-19,1,1,-20,-19,-1,1,-27,-25,-2,2,9
43691badf09ce0560884aabb2f049e70,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-19T23:00:00,73,night,forecast,snow_shwrs,15,25,-10,10,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-18,-19,1,1,-18,-19,1,1,-28,-32,4,4,10
248eb3e0939b775f947e6a179b9c9e61,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-20T07:00:00,81,am,forecast,snow_shwrs,5,5,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-19,-19,0,0,-19,-19,0,0,-27,-26,-1,1,11
dcfbb971f7501cc15175a9a5b6a13ac5,mount_everest,0,greater_himalaya,central_nepal_himalaya,27.98806,86.925,"27.98806,86.925",8000,,2024-05-17T00:00:00,2024-05-16T22:00:00,2024-05-20T15:00:00,89,pm,forecast,snow_shwrs,20,10,10,10,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-18,-16,-2,2,-19,-18,-1,1,-25,-24,-1,1,12
