local_time_of_forecast,chill
2024-07-02T07:00:00,-15.0
2024-07-02T15:00:00,-11.0
2024-07-02T23:00:00,-11.0
2024-07-03T15:00:00,-11.0
2024-07-03T23:00:00,-19.0
2024-07-04T07:00:00,-19.5
2024-07-04T15:00:00,-12.0
2024-07-04T23:00:00,-20.0
2024-07-05T07:00:00,-18.5
2024-07-05T15:00:00,-20.0
2024-07-05T23:00:00,-21.0
2024-07-06T07:00:00,-22.5
